SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,96.796,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,74.01805,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,83.0927,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,99.27897,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,81.62316,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,96.47264,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2017,99.51034,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,63.07159,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,82.0232,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,83.42222,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,92.41703,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,90.86623,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,95.66093,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,96.73222,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,96.76415,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,63.1107,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,62.71748,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,91.23438,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,57.01009,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,72.55253,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,75.50676,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,79.0471,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,89.1859,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,92.78741,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,79.581,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2017,99.55924,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,30.84423,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,31.34351,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2017,97.43305,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,63.5128,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,97.99393,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,98.3391,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,77.80553,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2017,97.31712,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,97.66808,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,92.1807,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,98.00578,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,94.4503,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,87.81353,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,76.08365,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,97.11295,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,96.70875,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2017,97.37574,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,80.89198,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,97.12507,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,96.08213,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,97.93908,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,97.99963,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,97.68641,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,86.11377,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,96.88551,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,85.40788,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,98.63261,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,88.48142,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,83.40962,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,97.67183,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,63.71493,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,96.88362,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,88.63159,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,80.58357,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,87.4305,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,85.92599,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,34.51531,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,47.04218,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,64.96552,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,59.32305,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,42.47374,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,77.75828,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,96.09317,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,74.41282,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,42.75629,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,92.62243,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,54.70655,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,86.28862,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,57.31219,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,96.74635,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,29.95953,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,85.54644,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,88.83729,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2017,42.18403,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2017,51.19899,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,96.98248,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,94.26994,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,66.2108,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2017,98.41176,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2017,50.24487,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2017,77.37165,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2017,97.49677,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,96.29185,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,97.6056,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,65.0068,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2017,97.09344,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2017,66.95384,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2022,92.4,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2022,93.63,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2022,91.22,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2022,38.71,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2022,89.48,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2022,85.38,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2022,90.92,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2022,42.68,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2022,45.7,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2022,46.72,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,FEMALE,PERCENT,2022,43.31,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2022,42.99,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,MALE,PERCENT,2022,38.59,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2022,98.58,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,FEMALE,PERCENT,2022,87.02,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2022,46.2,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2022,88.12,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,LOWSEC,C,MALE,PERCENT,2022,83.89,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,UPPSEC,C,BOTHSEX,PERCENT,2022,38.65,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2022,98.32,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2022,98.87,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2022,98.84,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2022,99.26,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2022,99.05,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,MALE,PERCENT,2022,99.24,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,FEMALE,PERCENT,2022,99.56,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2022,99.4,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,85.68719,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,91.45918,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,88.95151,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,85.9634,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,88.63121,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,81.86151,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,93.28085,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,94.24511,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,94.25175,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,95.15737,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,96.73077,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,95.4778,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,91.32608,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,98.55283,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.37547,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.09046,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,99.46748,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.20059,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.5873,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,99.31522,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,98.69182,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,97.26353,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.55966,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,88.91754,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.7392,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,98.99338,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.07662,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,98.8492,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.51163,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.79351,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.50473,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,99.32086,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,99.46748,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.44707,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.70321,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.19129,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,98.75671,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.08626,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.20483,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,95.30092,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,88.37636,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,93.55892,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,92.15997,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,87.89532,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.12511,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.24869,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,98.08389,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,90.3556,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,86.78735,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,94.16206,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,97.83512,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,98.45423,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,95.71281,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,86.97157,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.29,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.29076,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.38944,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.07745,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.17863,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,99.15245,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,FEMALE,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.10319,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,89.37706,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.8912,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,99.01714,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,98.54333,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,93.0298,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,96.73077,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,83.32538,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,91.61791,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,96.42009,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,94.83074,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.5908,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,0.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,87.18598,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,98.00122,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,BOTHSEX,PERCENT,2006,94.72922,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2006,99.50173,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,99.3468,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,100.0,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2006,99.69786,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2006,99.57846,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,99.35049,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,99.27882,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,99.4194,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,FEMALE,PERCENT,2006,96.14737,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,UPPSEC,C,MALE,PERCENT,2006,90.30295,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,PRIMAR,C,MALE,PERCENT,2006,98.82865,3
"Completion rate, by sex, location, wealth quintile and education level (%)",Kazakhstan,LOWSEC,C,MALE,PERCENT,2006,98.46469,3
